Nom;Adresse;CP;Ville;latitude;longitude;Catégorie;Type;Tél;Description;Nbre de;Date création
Mairie du 1er arrondissement;4, PLACE DU LOUVRE;75001;PARIS;48.860079;2.341061;Santé;Défibrillateur;;;1;
MMP - Médiathèque Musicale de Paris;Forum des Halles - 8, PORTE SAINT-EUSTACHE;75001;PARIS;48.862829;2.345748;Santé;Défibrillateur;;;1;
Gymnase Suzanne Berlioux;4 PLACE DE LA ROTONDE (niveau-3,forum);75001;PARIS;48.862429;2.34393;Santé;Défibrillateur;;;1;
Mairie du 2ème arrondissement;8, RUE DE LA BANQUE;75002;PARIS;48.86683;2.340448;Santé;Défibrillateur;;;1;
Gymnase Jean Dame;17 RUE LEOPOLD BELLAN;75002;PARIS;48.866564;2.345486;Santé;Défibrillateur;;;1;
Mairie du 3ème arrondissement;2 RUE EUGENE SPULLER;75003;PARIS;48.863988;2.361527;Santé;Défibrillateur;;;1;
Carnavalet;23/29 RUE DE SEVIGNE;75003;PARIS;48.858082;2.363595;Santé;Défibrillateur;;;2;
Gymnase Michel le Comte;14 RUE MICHEL LE COMTE;75003;PARIS;48.862196;2.356253;Santé;Défibrillateur;;;1;
Mairie du 4ème arrondissement;2 PLACE BAUDOYER;75004;PARIS;48.856164;2.355667;Santé;Défibrillateur;;;1;
Maison de Victor Hugo;6 PLACE DES VOSGES;75004;PARIS;48.854821;2.366126;Santé;Défibrillateur;;;1;
Crypte archéologique;PARVIS DE NOTRE DAME;75004;PARIS;48.853542;2.347221;Santé;Défibrillateur;;;1;
Blancs Manteaux;48 RUE VIEILLE DU TEMPLE;75004;PARIS;48.858255;2.358383;Santé;Défibrillateur;;;1;
Gymnase Saint Merri;16 RUE DU RENARD;75004;PARIS;48.859141;2.352418;Santé;Défibrillateur;;;1;
Mairie du 5ème arrondissement;21, PLACE DU PANTHEON;75005;PARIS;48.845784;2.344608;Santé;Défibrillateur;;;1;
Mouffetard;74-76, RUE MOUFFETARD;75005;PARIS;48.842433;2.349685;Santé;Défibrillateur;;;1;
Port-Royal;88TER, BOULEVARD DE PORT-ROYAL;75005;PARIS;48.839312;2.338798;Santé;Défibrillateur;;;1;
Gymnase Amyot;3 RUE AMYOT;75005;PARIS;48.843484;2.347523;Santé;Défibrillateur;;;1;
Gymnase Lavoisier;10 RUE PIERRE NICOLE;75005;PARIS;48.842295;2.340617;Santé;Défibrillateur;;;1;
Gymnase des Patriarches;6 PLACE BERNARD HALPERN;75005;PARIS;48.840319;2.350767;Santé;Défibrillateur;;;1;
Mairie du 6ème arrondissement;78, RUE BONAPARTE;75006;PARIS;48.850731;2.332635;Santé;Défibrillateur;;;1;
André Malraux;78, BOULEVARD RASPAIL;75006;PARIS;48.84797;2.327696;Santé;Défibrillateur;;;1;
Gymnase Saint Germain;12 RUE LOBINEAU;75006;PARIS;48.851739;2.33583;Santé;Défibrillateur;;;1;
Gymnase Vaugirard Littré;87 RUE DE VAUGIRARD;75006;PARIS;48.8459;2.323206;Santé;Défibrillateur;;;1;
Mairie du 7ème arrondissement;116, RUE DE GRENELLE;75007;PARIS;48.856871;2.320027;Santé;Défibrillateur;;;1;
Mairie du 8ème arrondissement;3, RUE DE LISBONNE;75008;PARIS;48.877801;2.317354;Santé;Défibrillateur;;;1;
Musée du Petit Palais;1 AVENUE DUTUIT;75008;PARIS;48.866041;2.315747;Santé;Défibrillateur;;;2;
Musée Cernuschi;7 AVENUE VELASQUEZ;75008;PARIS;48.879693;2.312194;Santé;Défibrillateur;;;1;
Gymnase Roquépine;18, RUE ROQUEPINE;75008;PARIS;48.873346;2.31856;Santé;Défibrillateur;;;1;
Mairie du 9ème arrondissement;6, RUE DROUOT;75009;PARIS;48.872594;2.34044;Santé;Défibrillateur;;;1;
Gymnase Valeyre;24 RUE DE ROCHECHOUART;75009;PARIS;48.877957;2.344924;Santé;Défibrillateur;;;1;
Salles de Sport Buffault;26 RUE BUFFAULT;75009;PARIS;48.87601;2.342244;Santé;Défibrillateur;;;1;
Mairie du 10ème arrondissement;72, RUE DU FAUBOURG SAINT MARTIN;75010;PARIS;48.871777;2.357378;Santé;Défibrillateur;;;1;
François Villon;81, BOULEVARD DE LA VILETTE;75010;PARIS;48.877208;2.370793;Santé;Défibrillateur;;;1;
Centre sportif de la Grange aux Belles;17, RUE BOY ZELENSKY;75010;PARIS;48.877434;2.368388;Santé;Défibrillateur;;;1;
Gymnase Jean Verdier;11 RUE DE LANCRY;75010;PARIS;48.869389;2.360243;Santé;Défibrillateur;;;1;
Mairie du 11ème arrondissement;PLACE LEON BLUM;75011;PARIS;48.858496;2.379511;Santé;Défibrillateur;;;1;
Faidherbe;18-20, RUE FAIDHERBE;75011;PARIS;48.851689;2.383815;Santé;Défibrillateur;;;1;
Parmentier;20BIS, AVENUE PARMENTIER;75011;PARIS;48.860093;2.378866;Santé;Défibrillateur;;;1;
Gymnase Cour des Lions;9-11 RUE ALPHONSE BAUDIN;75011;PARIS;48.860581;2.370463;Santé;Défibrillateur;;;1;
Gymnase, TEP, tennis Candie;11, RUE DE CANDIE;75011;PARIS;48.851382;2.380018;Santé;Défibrillateur;;;1;
Gymnase Georges Rigal;115 BOULEVARD DE CHARONNE;75011;PARIS;48.856591;2.393939;Santé;Défibrillateur;;;1;
Gymnase Japy;2 RUE JAPY;75011;PARIS;48.855874;2.38245;Santé;Défibrillateur;;;1;
Mairie du 12ème arrondissement;130, AVENUE DAUMESNIL;75012;PARIS;48.841108;2.388319;Santé;Défibrillateur;;;1;
Picpus;70, RUE DE PICPUS;75012;PARIS;48.842554;2.397478;Santé;Défibrillateur;;;1;
Gymnase Léon Mottot;17 CITE MOYNET;75012;PARIS;48.843863;2.386661;Santé;Défibrillateur;;;1;
Stade, tennis et gymnase Léo Lagrange;68, BOULEVARD PONIATOWSKI;75012;PARIS;48.832161;2.399323;Santé;Défibrillateur;;;2;
Stade Pershing;ROUTE DU BOSQUET MORTEMART;75012;PARIS;48.829042;2.458253;Santé;Défibrillateur;;;1;
Plaine de Jeux du Polygone;ROUTE DE LA PYRAMIDE;75012;PARIS;48.837442;2.440452;Santé;Défibrillateur;;;1;
Tennis de la Faluère;ROUTE DE LA PYRAMIDE;72012;PARIS;48.837442;2.440452;Santé;Défibrillateur;;;1;
Carnot;26 BOULEVARD CARNOT;75012;PARIS;48.843494;2.412916;Santé;Défibrillateur;;;1;
Gymnase Paul Valéry;15 RUE DE LA NOUVELLE CALEDONIE;75012;PARIS;48.840117;2.412036;Santé;Défibrillateur;;;1;
Mairie du 13ème arrondissement;1, PLACE D'Italie;75013;PARIS;48.832763;2.355979;Santé;Défibrillateur;;;1;
Italie;211-213, BOULEVARD VINCENT AURIOL;75013;PARIS;48.830766;2.356722;Santé;Défibrillateur;;;1;
Gymnase Caillaux;3 RUE CAILLAUX;75013;PARIS;48.822875;2.362127;Santé;Défibrillateur;;;1;
Gymnase du Chà¢teau des Rentiers;184 RUE DE CHà‚TEAU DES RENTIERS;75013;PARIS;48.830484;2.361992;Santé;Défibrillateur;;;1;
Gymnase Dunois 70;70 RUE DUNOIS;75013;PARIS;48.833077;2.366366;Santé;Défibrillateur;;;1;
